"year","week","day","N","Users","AnyOutdoor","num.male","num.female","age.median","age.IQR","Rec","Peri","Other_outdoor","Unknown_risk","median.temp","num.rainy","rural","med.small.metro","large.metro","median.SH.index","median.cases","Garden","Mow_lawn","PicnicYard","YardPlay","Brush_clear","Job","ParkPlay","PicnicPark","Camp","Hike","Bike","Hike_Walk","month","covid","percent.rural","percent.med.small.metro","percent.large.metro","percent.rainy","percent.female"
"2020",7,2020-02-12,5,5,3,3,2,69,8,2,0,1,0,1.453587,5,2,3,0,-4.0720953585187,0,0,0,0,0,0,0,0,0,0,2,0,2,"2","1pre",0.4,0.6,0,1,0.4
"2020",7,2020-02-13,4,4,2,3,1,69,9.25,2,0,0,0,-2.8146595,1,2,2,0,-4.37135523618591,0,0,0,0,0,0,0,0,0,0,2,0,2,"2","1pre",NA,NA,NA,NA,NA
"2020",7,2020-02-14,5,5,4,3,2,69,8,3,0,1,0,-13.53448,0,2,3,0,0.18403569288596,0,0,0,0,0,0,0,0,0,0,3,0,3,"2","1pre",0.4,0.6,0,0,0.4
"2020",7,2020-02-15,4,4,2,3,1,67.5,12.5,1,1,0,0,-9.0133425,0,2,2,0,-5.84161179244233,0,0,0,0,0,1,0,0,0,0,1,0,1,"2","1pre",NA,NA,NA,NA,NA
"2020",7,2020-02-16,6,6,5,4,2,67,9.25,2,0,2,1,-1.702062,1,2,4,0,0.261601056041975,0,0,0,0,0,0,0,0,0,0,2,0,2,"2","1pre",0.333333333333333,0.666666666666667,0,0.166666666666667,0.333333333333333
"2020",7,2020-02-17,5,5,4,3,2,69,8,3,0,1,0,-1.249565,0,2,3,0,-0.283539964451212,0,0,0,0,0,0,0,0,0,0,3,0,3,"2","1pre",0.4,0.6,0,0,0.4
"2020",7,2020-02-18,5,5,2,3,2,69,11,1,0,1,0,-2.038796,3,2,3,0,-1.79876646909847,0,0,0,0,0,0,0,0,0,0,1,0,1,"2","1pre",0.4,0.6,0,0.6,0.4
"2020",8,2020-02-19,4,4,3,3,1,65.5,9,1,0,2,0,-5.558315,0,2,2,0,-4.85366123967964,0,0,0,0,0,0,0,0,0,0,1,0,1,"2","1pre",NA,NA,NA,NA,NA
"2020",8,2020-02-20,4,4,3,3,1,67,5.75,2,0,1,0,-9.7693445,0,2,2,0,-3.15798253520927,0,0,0,0,0,0,0,0,0,0,2,0,2,"2","1pre",NA,NA,NA,NA,NA
"2020",8,2020-02-21,6,6,4,3,3,67,9.25,3,1,1,0,-5.0657415,0,2,3,1,-4.44660331874454,0,1,0,0,0,0,0,0,0,0,3,0,3,"2","1pre",0.333333333333333,0.5,0.166666666666667,0,0.5
"2020",8,2020-02-22,6,6,5,3,3,67,9.25,3,1,0,1,-0.088417,0,2,3,1,-4.50377641777646,0,1,0,0,0,0,0,0,0,0,3,0,3,"2","1pre",0.333333333333333,0.5,0.166666666666667,0,0.5
"2020",8,2020-02-23,5,5,5,3,2,69,8,3,1,1,2,1.617518,0,2,3,0,-1.95731520973932,0,0,0,0,0,1,0,0,0,0,3,0,3,"2","1pre",0.4,0.6,0,0,0.4
"2020",8,2020-02-24,5,5,5,3,2,69,8,4,0,0,1,5.062203,0,2,3,0,0.527082274946462,0,0,0,0,0,0,0,0,0,0,4,0,4,"2","1pre",0.4,0.6,0,0,0.4
"2020",8,2020-02-25,5,5,4,3,2,69,8,4,1,1,0,4.776974,1,2,3,0,-3.50522447466526,0,0,0,0,0,0,0,0,0,0,4,0,4,"2","1pre",0.4,0.6,0,0.2,0.4
"2020",9,2020-02-26,5,5,3,3,2,69,11,3,0,1,0,4.02659,4,2,3,0,5.13807156227546,0,0,0,0,0,0,0,0,0,0,3,0,3,"2","1pre",0.4,0.6,0,0.8,0.4
"2020",9,2020-02-27,5,5,3,3,2,69,11,2,1,0,0,-2.694704,2,2,3,0,-5.24660882570353,0,0,0,0,0,0,0,0,0,0,2,0,2,"2","1pre",0.4,0.6,0,0.4,0.4
"2020",9,2020-02-28,5,4,4,4,1,62,11,3,0,1,2,-4.594108,0,3,2,0,-7.51364729213646,0,0,0,0,0,0,0,0,0,0,3,0,3,"2","1pre",0.6,0.4,0,0,0.2
"2020",9,2020-02-29,5,5,4,3,2,69,8,4,0,0,1,-5.359182,0,2,3,0,-6.33151289908463,0,0,0,0,0,0,0,0,0,0,4,0,4,"2","1pre",0.4,0.6,0,0,0.4
"2020",9,2020-03-01,5,5,4,2,3,69,11,3,1,0,1,-0.5980717,0,3,2,0,-1.68017706081226,0,0,0,1,0,0,0,0,0,0,2,0,2,"3","1pre",0.6,0.4,0,0,0.6
"2020",9,2020-03-02,7,7,5,3,4,65,18.5,3,1,0,2,5.572117,1,3,4,0,5.31397586838159,0,0,0,0,0,0,0,0,0,0,3,0,3,"3","1pre",0.428571428571429,0.571428571428571,0,0.142857142857143,0.571428571428571
"2020",9,2020-03-03,9,9,5,4,5,65,21,4,2,0,0,6.801501,6,3,4,2,-2.9948701095592,0,1,0,0,0,0,0,0,0,0,4,0,4,"3","1pre",0.333333333333333,0.444444444444444,0.222222222222222,0.666666666666667,0.555555555555556
"2020",10,2020-03-04,5,5,4,3,2,69,11,2,1,0,2,4.168784,0,3,2,0,-8.02669438318042,0,0,0,0,0,0,0,0,0,0,2,0,2,"3","1pre",0.6,0.4,0,0,0.4
"2020",10,2020-03-05,6,6,4,4,2,67,9.25,3,0,0,1,2.731143,0,2,3,1,-6.20981438586822,0,0,0,0,0,0,0,0,0,0,3,0,3,"3","1pre",0.333333333333333,0.5,0.166666666666667,0,0.333333333333333
"2020",10,2020-03-06,8,8,5,4,4,65.5,15.5,1,3,0,2,0.2401302,2,2,4,2,-7.58648474202202,0,0,0,0,0,2,0,0,0,0,1,0,1,"3","1pre",0.25,0.5,0.25,0.25,0.5
"2020",10,2020-03-07,5,5,4,3,2,69,11,4,0,0,0,-0.6775449,0,2,3,0,-8.54799966736225,0,0,0,0,0,0,0,0,0,0,3,0,3,"3","1pre",0.4,0.6,0,0,0.4
"2020",10,2020-03-08,7,7,5,3,4,62,27.5,5,4,0,0,6.18744,2,2,3,2,-5.13165054296349,0,1,0,1,1,0,0,0,0,0,5,0,5,"3","1pre",0.285714285714286,0.428571428571429,0.285714285714286,0.285714285714286,0.571428571428571
"2020",10,2020-03-09,8,8,7,4,4,61,40.75,6,1,0,0,10.444316,1,3,2,3,-1.90151079844878,0,0,0,0,0,0,1,0,0,0,6,0,6,"3","1pre",0.375,0.25,0.375,0.125,0.5
"2020",10,2020-03-10,6,6,3,3,3,65.5,34.75,3,0,0,0,4.9331645,1,2,3,1,-7.37387810249975,0,0,0,0,0,0,0,0,0,0,3,0,3,"3","1pre",0.333333333333333,0.5,0.166666666666667,0.166666666666667,0.5
"2020",11,2020-03-11,4,4,4,2,2,67.5,21.75,3,0,0,1,2.576256,0,2,1,1,-8.5347538025942,0,0,0,0,0,0,0,0,0,0,3,0,3,"3","1pre",NA,NA,NA,NA,NA
"2020",11,2020-03-12,3,3,2,2,1,73,6.5,2,0,0,0,7.2802,1,2,1,0,-10.6481471864551,0,0,0,0,0,0,0,0,0,0,2,0,2,"3","1pre",NA,NA,NA,NA,NA
"2020",11,2020-03-13,3,3,2,2,1,73,6.5,1,1,0,0,6.686546,1,2,1,0,-10.6140690429242,0,0,0,0,0,0,0,0,0,0,1,0,1,"3","1pre",NA,NA,NA,NA,NA
"2020",11,2020-03-14,4,4,1,2,2,71,6.25,1,0,0,0,3.131767,0,2,2,0,-9.62555937668565,0,0,0,0,0,0,0,0,0,0,1,0,1,"3","1pre",NA,NA,NA,NA,NA
"2020",11,2020-03-15,7,7,7,3,4,62,36,6,1,0,0,-1.07589,0,3,3,1,-2.57954771480897,0,0,0,0,0,0,0,0,0,0,6,0,6,"3","1pre",0.428571428571429,0.428571428571429,0.142857142857143,0,0.571428571428571
"2020",11,2020-03-16,7,7,6,3,4,62,39,5,1,0,0,0.925599,1,3,2,2,0.795237671389341,0,1,0,0,0,0,0,0,0,0,5,0,5,"3","1pre",0.428571428571429,0.285714285714286,0.285714285714286,0.142857142857143,0.571428571428571
"2020",11,2020-03-17,6,6,5,3,3,61,35,4,0,0,1,2.719563,2,2,3,1,-2.32427166485073,0,0,0,0,0,0,0,0,0,0,4,0,4,"3","1pre",0.333333333333333,0.5,0.166666666666667,0.333333333333333,0.5
"2020",12,2020-03-18,6,6,5,3,3,65.5,11.5,4,0,0,2,4.1709895,4,2,4,0,2.19359231320532,0,0,0,0,0,0,0,0,0,0,4,0,4,"3","1pre",0.333333333333333,0.666666666666667,0,0.666666666666667,0.5
"2020",12,2020-03-19,2,2,2,1,1,68.5,6.5,2,0,0,0,7.7844265,2,1,1,0,-1.49661358603208,0,0,0,0,0,0,0,0,0,0,2,0,2,"3","1pre",NA,NA,NA,NA,NA
"2020",12,2020-03-20,5,5,4,3,2,69,11,2,2,0,1,6.437687,2,2,3,0,4.15953129267945,0,0,0,0,0,0,0,0,0,0,2,0,2,"3","1pre",0.4,0.6,0,0.4,0.4
"2020",12,2020-03-21,5,5,4,2,3,69,11,3,0,0,1,-1.980129,1,2,2,1,4.7827675305455,0,0,0,0,0,0,0,0,0,0,3,0,3,"3","1pre",0.4,0.4,0.2,0.2,0.6
"2020",12,2020-03-22,7,7,5,2,5,62,32.5,4,0,0,1,-0.8146056,0,3,3,1,9.98926263883295,3,0,0,0,0,0,0,0,0,0,4,0,4,"3","1pre",0.428571428571429,0.428571428571429,0.142857142857143,0,0.714285714285714
"2020",12,2020-03-23,4,3,3,3,1,67.5,11.5,3,0,0,0,0.8592789,4,3,1,0,3.09402579771267,0.5,0,0,0,0,0,0,0,0,0,3,0,3,"3","1pre",NA,NA,NA,NA,NA
"2020",12,2020-03-24,8,8,7,5,3,61,35,5,0,0,2,2.685718,0,4,3,1,6.00934635399781,2,0,0,0,0,0,0,0,0,0,5,0,5,"3","1pre",0.5,0.375,0.125,0,0.375
"2020",13,2020-03-25,9,9,8,4,5,37,35,6,1,0,2,5.255479,0,5,2,2,9.20214469782485,1,0,0,0,0,0,0,0,0,0,6,0,6,"3","1pre",0.555555555555556,0.222222222222222,0.222222222222222,0,0.555555555555556
"2020",13,2020-03-26,4,4,3,1,3,65.5,18.5,2,1,0,2,7.129624,1,2,2,0,3.44179746758052,2.5,1,0,0,0,0,0,0,0,0,2,0,2,"3","1pre",NA,NA,NA,NA,NA
"2020",13,2020-03-27,5,5,4,2,3,62,45,4,1,0,0,6.796909,2,3,2,0,4.12840808052226,2,1,0,0,0,0,0,0,0,0,4,0,4,"3","1pre",0.6,0.4,0,0.4,0.6
"2020",13,2020-03-28,10,9,8,6,4,47.5,24.5,7,1,0,1,7.0002045,7,6,3,1,4.8154507115883,3,0,0,0,0,1,0,0,0,0,7,0,7,"3","1pre",0.6,0.3,0.1,0.7,0.4
"2020",13,2020-03-29,11,11,7,7,4,58,27.5,6,1,0,0,6.741689,3,5,4,2,15.2244250909515,6,0,0,0,0,0,0,0,0,0,5,0,5,"3","1pre",0.454545454545455,0.363636363636364,0.181818181818182,0.272727272727273,0.363636363636364
"2020",13,2020-03-30,13,13,10,6,7,49,31,8,3,0,2,4.90965,5,5,6,2,14.3702440308848,6,2,0,0,0,0,0,0,0,0,8,0,8,"3","1pre",0.384615384615385,0.461538461538462,0.153846153846154,0.384615384615385,0.538461538461538
"2020",13,2020-03-31,10,10,7,5,5,63.5,20.25,4,2,0,0,2.789888,0,5,5,0,8.59011076448407,7,1,0,0,0,0,0,0,0,0,4,0,4,"3","1pre",0.5,0.5,0,0,0.5
"2020",14,2020-04-01,15,15,12,6,9,49.5,29.75,6,7,0,2,4.958393,2,6,6,3,10.5298704882323,10,4,1,1,2,3,0,1,0,0,4,0,4,"4","2post",0.4,0.4,0.2,0.133333333333333,0.6
"2020",14,2020-04-02,12,12,10,7,5,56,26.5,5,6,0,1,7.05043,4,7,2,3,15.3536160132541,11.5,2,1,0,0,5,0,2,0,0,3,0,3,"4","2post",0.583333333333333,0.166666666666667,0.25,0.333333333333333,0.416666666666667
"2020",14,2020-04-03,14,14,10,8,6,43,25,2,6,0,0,7.2243005,2,10,3,1,12.3719238699254,9,1,0,1,0,3,0,0,0,0,1,0,1,"4","2post",0.714285714285714,0.214285714285714,0.0714285714285714,0.142857142857143,0.428571428571429
"2020",14,2020-04-04,18,17,16,8,10,52,24,5,9,0,1,5.7302785,0,8,9,1,13.2797592789561,12,2,0,2,3,7,0,2,0,0,2,0,3,"4","2post",0.444444444444444,0.5,0.0555555555555556,0,0.555555555555556
"2020",14,2020-04-05,13,13,9,5,8,55,21,4,5,0,2,6.437351,1,5,6,2,16.3743894136304,22,2,0,2,0,1,0,0,0,0,2,0,3,"4","2post",0.384615384615385,0.461538461538462,0.153846153846154,0.0769230769230769,0.615384615384615
"2020",14,2020-04-06,15,15,14,8,7,56.5,29.5,3,11,0,2,7.202835,3,7,6,2,17.2061009524031,10,3,1,0,3,4,0,1,0,0,1,0,1,"4","2post",0.466666666666667,0.4,0.133333333333333,0.2,0.466666666666667
"2020",14,2020-04-07,18,18,14,10,8,57,24,3,11,0,1,10.0373875,8,9,6,3,13.9030235180726,15.5,4,0,1,2,3,0,1,0,0,0,0,0,"4","2post",0.5,0.333333333333333,0.166666666666667,0.444444444444444,0.444444444444444
"2020",15,2020-04-08,12,12,10,5,7,62,18.5,3,7,0,1,7.347055,0,7,3,2,15.0729469184051,18,4,1,2,1,1,0,0,0,0,0,1,0,"4","2post",0.583333333333333,0.25,0.166666666666667,0,0.583333333333333
"2020",15,2020-04-09,13,13,8,6,7,65,14.25,2,4,0,1,3.123121,6,6,5,2,12.9408987414991,18,2,0,0,1,0,0,2,0,0,0,0,1,"4","2post",0.461538461538462,0.384615384615385,0.153846153846154,0.461538461538462,0.538461538461538
"2020",15,2020-04-10,15,15,12,7,8,55,29.5,4,7,1,0,2.858786,6,3,8,4,18.2588811400469,81,1,0,0,4,3,0,2,0,0,0,1,0,"4","2post",0.2,0.533333333333333,0.266666666666667,0.4,0.533333333333333
"2020",15,2020-04-11,18,18,14,8,10,64,15,3,11,0,1,5.8868805,11,6,8,4,13.9423067080688,65.5,3,1,1,2,6,0,0,0,0,1,1,1,"4","2post",0.333333333333333,0.444444444444444,0.222222222222222,0.611111111111111,0.555555555555556
"2020",15,2020-04-12,19,19,15,12,7,61.5,28.5,6,10,0,1,5.839522,7,9,6,4,14.1856767394767,71,0,0,2,3,3,0,3,0,0,1,0,1,"4","2post",0.473684210526316,0.315789473684211,0.210526315789474,0.368421052631579,0.368421052631579
"2020",15,2020-04-13,17,17,9,8,9,64,15,2,2,2,0,1.831888,7,7,7,3,23.0560686102642,57,0,0,0,1,0,0,2,0,0,0,0,0,"4","2post",0.411764705882353,0.411764705882353,0.176470588235294,0.411764705882353,0.529411764705882
"2020",15,2020-04-14,24,23,18,11,13,63,14.5,5,13,0,2,0.31060335,3,9,11,4,18.2294923260222,67,2,0,1,2,2,0,4,0,0,0,0,1,"4","2post",0.375,0.458333333333333,0.166666666666667,0.125,0.541666666666667
"2020",16,2020-04-15,16,16,14,9,7,60,21.25,5,11,0,2,-1.2842765,1,4,7,5,17.7490682174062,103.5,2,1,2,2,0,0,4,0,0,0,0,1,"4","2post",0.25,0.4375,0.3125,0.0625,0.4375
"2020",16,2020-04-16,19,19,13,6,13,62,23,3,7,0,1,1.295963,3,9,7,3,11.5000654428779,19,3,0,0,2,2,0,3,0,0,0,0,0,"4","2post",0.473684210526316,0.368421052631579,0.157894736842105,0.157894736842105,0.684210526315789
"2020",16,2020-04-17,22,22,18,10,12,54,23.75,5,7,0,2,2.2232575,5,9,9,4,13.1265690205027,98.5,3,0,2,2,2,0,3,0,0,1,1,1,"4","2post",0.409090909090909,0.409090909090909,0.181818181818182,0.227272727272727,0.545454545454545
"2020",16,2020-04-18,25,24,24,10,15,55,19,11,13,0,2,6.788148,0,13,8,4,10.317965576798,32,4,1,0,5,6,0,7,0,0,0,1,1,"4","2post",0.52,0.32,0.16,0,0.6
"2020",16,2020-04-19,28,27,25,11,17,55,22.5,14,17,0,2,5.950219,9,16,10,2,12.9033254268024,37,6,0,2,5,5,0,9,0,0,1,1,1,"4","2post",0.571428571428571,0.357142857142857,0.0714285714285714,0.321428571428571,0.607142857142857
"2020",16,2020-04-20,29,29,26,11,18,61,21.5,5,18,0,2,6.943503,9,9,16,4,16.8614022662508,86,7,0,0,6,7,0,3,0,0,0,1,1,"4","2post",0.310344827586207,0.551724137931034,0.137931034482759,0.310344827586207,0.620689655172414
"2020",16,2020-04-21,25,25,20,9,16,62.5,21,5,12,0,2,2.258642,4,11,11,3,13.6353727771402,121,6,0,2,3,4,0,3,0,0,0,1,1,"4","2post",0.44,0.44,0.12,0.16,0.64
"2020",17,2020-04-22,26,26,20,7,19,60.5,22.5,6,10,0,5,3.820921,8,11,11,4,13.4699766373843,66,4,1,2,3,2,0,4,0,0,0,1,2,"4","2post",0.423076923076923,0.423076923076923,0.153846153846154,0.307692307692308,0.730769230769231
"2020",17,2020-04-23,23,23,20,7,16,60.5,22.75,4,9,0,4,4.712482,4,7,8,8,15.1140671233696,177,4,0,1,2,5,0,3,0,0,0,0,2,"4","2post",0.304347826086957,0.347826086956522,0.347826086956522,0.173913043478261,0.695652173913043
"2020",17,2020-04-24,34,34,31,9,25,61,20,10,17,0,2,7.351912,2,14,13,7,9.54750536128064,91,7,0,3,3,3,0,7,0,0,1,0,3,"4","2post",0.411764705882353,0.382352941176471,0.205882352941176,0.0588235294117647,0.735294117647059
"2020",17,2020-04-25,44,41,39,18,26,57.5,20.75,14,33,0,7,8.069478,4,19,15,10,9.2328761528026,92,17,1,2,9,14,0,10,0,0,0,1,5,"4","2post",0.431818181818182,0.340909090909091,0.227272727272727,0.0909090909090909,0.590909090909091
"2020",17,2020-04-26,43,43,38,13,30,57,22,9,27,0,3,8.49005,14,18,14,11,9.72128047090033,92,8,0,6,7,9,0,4,0,0,1,0,3,"4","2post",0.418604651162791,0.325581395348837,0.255813953488372,0.325581395348837,0.697674418604651
"2020",17,2020-04-27,42,42,30,13,29,54,23,9,16,0,4,9.638918,29,16,14,12,13.0757304846701,109,4,1,6,7,3,0,5,0,0,1,0,4,"4","2post",0.380952380952381,0.333333333333333,0.285714285714286,0.69047619047619,0.69047619047619
"2020",17,2020-04-28,39,39,29,8,30,53,22,8,19,1,3,9.02523,25,17,14,8,10.5795652295912,96,9,0,2,6,6,0,2,0,0,2,2,3,"4","2post",0.435897435897436,0.358974358974359,0.205128205128205,0.641025641025641,0.769230769230769
"2020",18,2020-04-29,26,26,15,6,20,63.5,21.25,0,9,4,1,8.7155385,14,12,8,6,9.05596310946778,97,5,0,0,3,4,0,0,0,0,0,0,0,"4","2post",0.461538461538462,0.307692307692308,0.230769230769231,0.538461538461538,0.769230769230769
